dolar,Fecha
658.88,22/08/23
661.32,23/08/23
665.4,24/08/23
664.97,25/08/23
667.95,28/08/23
671.02,29/08/23
670.99,30/08/23
670.83,31/08/23
670.37,01/09/23
672.62,04/09/23
672.34,05/09/23
673.47,06/09/23
674.84,07/09/23
673.36,08/09/23
675.54,11/09/23
676.46,12/09/23
676.32,13/09/23
677.79,14/09/23
678.68,15/09/23
679.36,18/09/23
680.08,19/09/23
679.95,20/09/23
680.85,21/09/23
682.08,22/09/23
683.01,25/09/23
685.58,26/09/23
689.85,27/09/23
694.89,28/09/23
701.01,29/09/23
709.83,02/10/23
720.62,03/10/23
747.68,04/10/23
784.83,05/10/23
812.75,06/10/23
840.01,09/10/23
844.81,10/10/23
854.74,11/10/23
870.46,12/10/23
884.82,17/10/23
884.74,18/10/23
888.6,19/10/23
898.91,20/10/23
899.33,23/10/23
843.82,24/10/23
872.31,25/10/23
855.48,26/10/23
818.69,27/10/23
859.75,30/10/23
852.85,31/10/23
840.28,01/11/23
863.64,02/11/23
844.01,03/11/23
848.8,07/11/23
840.97,08/11/23
863.3,09/11/23
881.71,10/11/23
870.63,13/11/23
868.42,14/11/23
882.35,15/11/23
857.14,16/11/23
872.61,17/11/23
930.44,21/11/23
984.19,22/11/23
1006.39,23/11/23
972.75,24/11/23
889.15,27/11/23
867.12,28/11/23
838.16,29/11/23
858.82,30/11/23
907.69,01/12/23
913.05,04/12/23
934.71,05/12/23
936.93,06/12/23
986.37,07/12/23
993.53,11/12/23
1011.46,12/12/23
1037.29,13/12/23
1003.94,14/12/23
993.73,15/12/23
963.22,18/12/23
964.69,19/12/23
946.47,20/12/23
971.88,21/12/23
954.23,22/12/23
939.7,26/12/23
932.59,27/12/23
950.24,28/12/23
995,29/12/23
991.3,02/01/24
1033.56,03/01/24
1050.43,04/01/24
1104.93,05/01/24
1141.62,08/01/24
1160.38,09/01/24
1142.45,10/01/24
1119.17,11/01/24
1096.39,12/01/24
1125.3,15/01/24
1163.48,16/01/24
1221.49,17/01/24
1227.54,18/01/24
1251.67,19/01/24
1241.41,22/01/24
1233.22,23/01/24
1232.72,24/01/24
1229.32,25/01/24
1188.48,26/01/24
1219.88,29/01/24
1208.21,30/01/24
1175.67,31/01/24
1235.43,01/02/24
1237.43,02/02/24
1209.52,05/02/24
1194.74,06/02/24
1199.41,07/02/24
1183.55,08/02/24
1173.36,09/02/24
1124.14,14/02/24
1086.86,15/02/24
1064.71,16/02/24
1108.61,19/02/24
1080.31,20/02/24
1072.51,21/02/24
1054.78,22/02/24
1076.6,23/02/24
1051.04,26/02/24
1044.95,27/02/24
1031.25,28/02/24
1032.24,29/02/24
1053.46,01/03/24
1029.54,04/03/24
1016.08,05/03/24
981.21,06/03/24
996.63,07/03/24
1000.47,08/03/24
980.98,11/03/24
1036.19,12/03/24
1012.01,13/03/24
1015.67,14/03/24
1027.63,15/03/24
1023.89,18/03/24
1032.36,19/03/24
1042.43,20/03/24
1036.25,21/03/24
1036.16,22/03/24
1012.94,25/03/24
1027.09,26/03/24
1016.09,27/03/24
